,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,NaturalGas_Percentage,Electricity_Percentage,SteamUse_Percentage,ParkingGFA_Percentage,Neighborhood_EUI/SF,PrimaryPropertyType_EUI/SF
1497,Warehouse,LAKE UNION,0.6931471805599453,1.0986122886681098,9.910512817472881,0.0,9.910512817472881,Non-Refrigerated Warehouse,9.910512817472881,none,0.0,none,0.0,11.665540122290118,0.5933268452777344,66,0.0,100.00034201358315,0.0,0.0,4.54199622261021,3.558324320392524
1508,Retail Store,GREATER DUWAMISH,0.6931471805599453,1.0986122886681098,10.567360390392079,0.0,10.567360390392079,Retail Store,10.567360390392079,Parking,8.699681400989514,none,0.0,15.749533331305782,5.377867645306046,31,52.43033388846483,47.569651654985776,0.0,0.0,3.9862703394562087,4.202548085123781
1509,Supermarket / Grocery Store,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.169422358105223,0.0,10.169422358105223,Supermarket/Grocery Store,10.163811274974622,Parking,0.0,none,0.0,15.846214221607735,5.163356381113919,70,34.31286661955038,65.68713338044962,0.0,0.0,3.9862703394562087,5.471408967115091
1512,Small- and Mid-Sized Office,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.146472946063877,0.0,10.146472946063877,Office,10.146472946063877,none,0.0,none,0.0,14.009324778706302,4.030694535145645,56,83.62692949552454,16.37309109976585,0.0,0.0,3.9862703394562087,4.121695953477062
1513,Warehouse,GREATER DUWAMISH,0.6931471805599453,0.6931471805599453,10.642945635959324,0.0,10.642945635959324,Non-Refrigerated Warehouse,10.532762656501662,Office,7.862112211662748,none,0.0,14.032485120132955,3.261552099148637,62,28.663422982078167,71.33653677036718,0.0,0.0,3.9862703394562087,3.558324320392524
1514,Retail Store,GREATER DUWAMISH,0.6931471805599453,1.0986122886681098,10.936565268616524,0.0,10.936565268616524,Retail Store,10.936565268616524,none,0.0,none,0.0,14.730978451399714,3.8691155044168695,65,25.580730383032197,74.41923959226047,0.0,0.0,3.9862703394562087,4.202548085123781
1518,K-12 School,BALLARD,0.6931471805599453,1.3862943611198906,10.475850322817688,0.0,10.475850322817688,K-12 School,10.475850322817688,none,0.0,none,0.0,14.137545867566493,4.116432158686106,101,79.66933165209169,20.330632114251966,0.0,0.0,4.449931191363842,3.933040582287841
1519,Supermarket / Grocery Store,BALLARD,0.6931471805599453,0.6931471805599453,10.282437554988537,0.0,10.282437554988537,Supermarket/Grocery Store,10.282437554988537,none,0.0,none,0.0,16.049414159558985,5.344866927201017,57,33.29989731411118,66.70010268588882,0.0,0.0,4.449931191363842,5.471408967115091
1522,Supermarket / Grocery Store,BALLARD,0.6931471805599453,0.6931471805599453,11.39755950582945,10.6697922537138,10.737895551594969,Supermarket/Grocery Store,10.758647284406052,Parking,0.0,none,0.0,16.45667145923476,5.955448692903612,23,44.345613664939826,55.654379207212244,0.0,3.897884264903616,4.449931191363842,5.471408967115091
1523,Other,BALLARD,0.6931471805599453,0.6931471805599453,10.373522431293592,0.0,10.373522431293592,Other - Recreation,10.304978105888882,Office,8.45553053102413,none,0.0,14.101533598733727,3.8368683318273855,62,58.784313272533126,41.215677336893485,0.0,0.0,4.449931191363842,4.666034874744712
1524,Mixed Use Property,BALLARD,0.6931471805599453,1.0986122886681098,10.346280557910271,0.0,10.346280557910271,Other,9.605148899895818,Retail Store,9.148571345578551,Non-Refrigerated Warehouse,8.839421607620602,13.748923339679086,3.685373314784649,113,74.92323113629008,25.07673546198098,0.0,0.0,4.449931191363842,4.550527089406856
1525,Warehouse,BALLARD,0.6931471805599453,1.3862943611198906,10.632942554049004,0.0,10.632942554049004,Non-Refrigerated Warehouse,10.371395236823,Office,9.163982247998034,none,0.0,14.926039312681311,4.372228792193771,48,40.73104005163437,59.26895171374413,0.0,0.0,4.449931191363842,3.558324320392524
1526,Warehouse,BALLARD,0.6931471805599453,0.6931471805599453,10.592651811785132,0.0,10.592651811785132,Non-Refrigerated Warehouse,10.592651811785132,none,0.0,none,0.0,13.530631220844517,1.8309801823813363,43,0.0,100.0,0.0,0.0,4.449931191363842,3.558324320392524
